text,label
哈哈哈哈哈哈哈哈,2
营销号搁这瞎扯,1
哈哈,2
哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈哈哈哈,2
哈哈哈哈哈,2
没毛病,1
哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈,2
哈哈哈,2
哈哈哈,2
哈哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈哈哈,2
来啦~[tv_微笑],2
哈哈哈哈哈哈哈哈,2
满口胡言，举报了,1
yxh？先了解清楚  唐导说他们在飞机上遇到杨洋，敲的约戏，还有杨洋很早之前的视频就说想找成龙大哥拍戏，and 看看武动乾坤，特战荣耀拍戏的片场，你就知道杨洋是不是说怕跟大哥拍戏累的演员了[笑][笑],1
我新兵连连长也是帅的，现在想起来，跟杨洋很像啊，白，高，帅[歪嘴],2
"，.来伸张正义吧，一起来复读
......................./´¯/) 
....................,/¯../ 
.................../..../ 
............./´¯/'...'/´¯¯`·¸ 
........../'/.../..../......./¨¯\ 
........('(...´...´.... ¯~/'...')
.........\.................'...../ 。
..........''...\.......... _.·´ 
............\..............( 
..............\.............
辣鸡营销号，请你滚出b站。
欢迎复制........./´¯/) 
....................,/¯../ 
.................../..../ 
............./´¯/'...'/´¯¯`·¸ 
........../'/.../..../......./¨¯\ 
........('(...´...´.... ¯~/'...')
.........\.................'...../ 。
..........''...\.......... _.·´ 
............\..............( 
..............\.............
辣鸡营销号，请你滚出b站。
欢迎复制
排面
.……..… /´¯/)………....(\¯`\
……….../….//……….. …\\….\
………../….//………… ….\\….\
…../´¯/…./´¯\………../¯ `\….\¯`\
.././.../…./…./.|_……_|.\….\….\…\.\
(.(….(….(…./.)..)..(..(.\….)….)….).)
.\…………….\/../…..\....\/…………../ 
..\…………….. /……..\…………….../
…\…………... (...…….)……………./
辣鸡营销号，滚出b站营销号滚出去。",2
满口胡言，瞎胡编乱造，这就是营销号吗，为了播放量不择手段举报了，举报了,1
杨洋跳的那个明显是特效[无语],4
成龙是真的跳不了，年轻的时候再厉害也禁不住岁月的侵袭，他现在还能拍打戏我都觉得特别强无敌了～,1
可笑的是成龙在国外吃的香。在国内确被看不起，可笑可笑,1
"看着龙叔的电影长大我的
现在真的是满满的回忆啊",4
成功被床戏逗乐了[笑哭],2
那一年，我9岁，她11岁，我告诉我将来要娶她，她也很调皮的回答我：“好啊”！ 那一年，我12岁，她14岁，她高我一头，我抬着头说我喜欢她，她怔怔听着，没说话，便转过头去，不再望我。 那一年，我18岁，她20岁，我已经在外工作一年了，她还上着重点大学，我再也说不出口我喜欢她，因为我觉得自己根本配 不上她，我把想对她说的话，留给了自己，等我配上她的时候，再全部告诉她。 后来四年里，我再没有机会见过她，听说她已经工作了，我更关心的是，她是否已为人妻，已为人母，我的事业渐渐走向正轨，再也不为钱所窘迫，当我再次见到她时，是在东莞，昏黄的房间，只有我们两个人，沉默了良久，她开口了：“八百，看你是熟人，就收你五百”。我尽量让自己不再颤抖，我说：“跟我走吧”，她目光呆滞了一下，随即闪烁了一下，然后又像 一团火熄灭了一样，说：“我配不上你，我只是一位小姐，我还有客人，没什么事 ，我先走了”。她就匆忙的离去了。 后来，我在电视上看到了她，她被两名民警押着，一脸惊恐与不堪，电视甚至没有给她遮住脸，任由她在我面前晃着，任由她在我心中撞着、撞着、直至粉碎！ 最后一次见她，是她找我去的，当时她在楼顶 ，我在楼下抬头望她，就这样望着，许久，他走了，没留下一句话。. 再有她的消息是一年后，是她妈妈给我打的电话，说她病了，没法治疗，说想最后见我一面。我有点接受不了，反正觉得很压抑。到了医院，在她的病床前，看着她苍白的脸，比以前消瘦了许多。我对她笑了笑，那笑容有多丑我不知道，她也对我笑，像七岁那年，笑的那么天真。她抬起了手，我赶紧过去握住她的手，泪水终忍不住往下掉，她用低沉的浯气说: “我....我想要个赞。,1
全是床戏那个成功逗笑我了[喜极而泣][喜极而泣][喜极而泣],2
哈哈哈哈哈哈哈,2
四颗老葱[滑稽],1
大哥已经跳不了了， 年纪大了，岁月啊,1
"成龙：我老了，得找个接班人。跳楼的戏得让年轻人来做[思考]
杨洋：龙叔好！能和龙叔合作拍电影可真是我的荣幸，只要不拍跳楼啥的我都可以[微笑]
成龙：这小伙子身材结实，跳楼应该不错[惊喜]",2
别说成龙跳不了，陈道长现在也说不敢跳了，难道不知道人年纪大了骨头会变脆吗[吃瓜],1
不是替身?,1
杨洋很好了，人家演偶像剧的发型多帅现在急先锋二话不说就把头发剪了，不像某些人演个军人头发都不剪，不剪也就算了嘛，那把帽子压下去戴好，这都不真是个煞笔,1
做搞笑视频需要一定底线，在这个视频里就需要在一定部分澄清这是搞笑视频不是在说真事，如果做不到，视为传播谣言的yxh,1
陈海那个不是网友开玩笑网上逗乐说的吗？你当真了？,1
营销号为了播放量不择手段，胡言乱语,1
洋洋？   谁,2
重点，四位“美女”[doge],5
从哪来的二流子编的段子就往B站发？，yxh现在是越来越无法无天了？，没人管就发这些网上nt编的段子来当真事是不是傻,1
这个封面。。这个不厉害的，等下我带你去家具城？,5
举报了，胡说八道，这也能做视频的吗？,1
那个不是杨洋跳的啊，是替身来着,1
[doge]我还以为谁呢？原来是肾（kong）虚公子啊。这四颗老葱你给哪儿拔的？,3
哈哈哈哈哈哈哈,2
她??司马营销号，满嘴胡言乱语。反手奖励一个举报[笑],1
床戏那个没毛病[笑哭],1
胡说八道,1
这些都没有流浪地球忽悠吴京的狠把,1
胡说八道，你以为大家都是傻子吗,1
杨洋是文艺兵（没有看不起文艺兵的意思）[doge],1
这是扯淡  邀请人  都要先给剧本,1
真 .床戏[大笑],2
急先锋上映时间太不好了，同期上映的都是卖情怀和口碑,2
胡扯,1
造谣犯法知道吗，网络的段子还拿来科,1
痛苦面具,4
个🤡一样（确信）,2
游戏结束,2
哈哈哈哈,2
这开箱看的我难受 完全不懂这个盒子的结构,4
暴力开箱[笑哭],1
土狗开箱，哈哈哈哈,2
12首摔哈哈哈哈哈哈哈[doge],2
"现在还在象牙塔里，以后就要进染缸了…

我希望我还是红的。",1
关键印度还吧邻居全尼玛得罪了一圈,1
工匠精神[辣眼睛][辣眼睛][辣眼睛],2
宇宙第一[妙啊][微笑],2
祝我好兄弟王守义考研成功，必有好果汁儿赤,2
盖伦扭头就跑哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
这攻速有点离谱,1
是他们吧 不是tm,1
哈哈哈,2
不当人了,1
女人看见了也心碎,4
左拥右抱的老王哈哈哈,2
真·电话哈哈哈哈哈哈,2
有！！！！！不仅心碎还炸裆（bushi,4
确实哈哈哈哈哈宋美人颜值天花板,2
哈哈哈哈太混乱了,2
哈哈哈哈哈哈哈这里好像老王打游戏马上通关被命命把电线给剪了,2
哈哈哈哈宋美人真·狐狸精，男女都勾,2
哈哈哈哈哈好一个“中间”,2
不只男人看了心碎，女人也心碎,4
你要掉在哪边哈哈哈哈哈哈,2
哈哈哈哈哈,2
我顶狐狸精啊,1
这个魅力绝了，哈哈,2
o(*≧▽≦)ツ┏━┓拍桌狂笑,2
我心碎！,4
真的是中间哈哈哈哈,2
每个cP都逃不过的狐狸精,1
恭喜你发现胜命宝藏视频！,2
把电线剪了那个。哈哈哈，想象力丰富,2
女人看见了也心碎,4
哈哈哈哈哈哈哈,2
谢邀，女人也心碎,4
哈哈哈哈哈哈,2
这次我顶狐狸精,1
毒唯哈哈哈哈哈哈哈哈,2
我也站胜命。哈哈哈哈哈哈,2
真的是中间哈哈哈哈,2
真 狐狸精！,1
毫无违和感哈哈哈哈,2
真的哈哈哈,2
哈哈哈哈哈,2
我心碎了斯哈斯哈,4
哈哈哈，求多做一点啊，把歌做完啊，太带感啦,2
我心碎，美人美人！撕哈！,4
哈哈哈哈哈哈哈哈哈阴魂不散,2
毫无违和感哈哈哈,2
我站胜命哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈,2
有啊有啊，女人看了也心碎,4
哈哈哈哈哈哈,2
哈哈哈哈哈哈,2
苟不住的狗头最难受了，脆的一b的同时没有伤害,4
猴子这被动就离谱,1
bgm有点难受,4
猴子打狗头，就算前期不杀他六级也是一套死。。。何况前期就随便杀，团战更不用说了,1
这种还好，最烦的是主W的狗头，攻速直接减到0.6 完全打不了，恶心的一批,1
哈哈哈哈哈哈宋命:我不是来拆散你们的，我是来加入你们的。,2
狐狸精不愧是每对cp的必经之路[tv_笑哭][tv_笑哭][tv_笑哭][tv_笑哭][tv_笑哭][tv_笑哭],1
宋命真的是又帅又有实力又有脑子，这么完美的男人只可惜生在了起点流，要是在晋江，嘿嘿嘿......[滑稽][滑稽][滑稽][害羞][害羞][害羞],1
一开始看到“狐狸精”标题我以为是戴四宋命和王胜…,1
三角形具有稳定性[doge],2
狐狸精可能会迟到，但永远不会缺席哈哈哈哈(ಡωಡ)hiahiahia,2
哈哈哈哈哈这个狐狸精真的好好看吖哈哈哈哈,2
其实宋命+宋嫣才是原著宋嫣，所以宋命喜欢宋嫣是自恋？？,1
王胜可不是时间管理大师[doge],1
又迫害大小姐[热词系列_泪目]看完之后更喜欢大小姐了，最近这几年的大小姐人设都挺讨喜的其实。大家闺秀，知书达理，轻傲娇，黑长直，[热词系列_爱了爱了],1
没有宋命tag哈哈哈哈怪不得我没看到这个视频,2
宋命·真·狐狸精·比女主还美·男女通吃[害羞],1
哈哈哈哈哈哈哈哈为什么是嫣命不是命嫣,2
中间中间中间[微笑],2
嫣命哈哈命怎么总受啊哈哈糙,2
哈哈哈宋命有腹黑绿茶那味了[捂眼],2
？结束来的措不及防,1
还真是谁都逃不过狐狸精啊。,1
up太会了[灵笼_兴奋],2
哈哈哈哈哈嗝[妙啊],2
哈哈哈,2
[tv_微笑][tv_微笑]王兄，你可真是调皮,2
好欢乐,2
想起那句爱你所爱 所以他们都爱着彼此[害羞],5
片尾非常不知检点了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
还真是谁都逃不过狐狸精啊。,1
[tv_微笑][tv_微笑]王兄，你可真是调皮,2
哇哦，匹配度好高啊，哈哈！,2
然后俩情敌在一起了[doge][doge][doge],1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
从未见过如此和谐的狐狸精，左拥右抱香得过分了！,1
哈哈哈哈哈嗝[妙啊],2
好期待完整版哈哈哈,2
噗哈哈哈哈哈哈哈哈哈,2
up太会了[灵笼_兴奋],2
什么时候来个第三年的见异思迁,1
终于！每个cp必有的狐狸精胜命也有了哈哈哈哈哈哈！,2
哈哈哈,2
好欢乐,2
绝了哈哈哈哈哈哈,2
哈哈哈哈可爱死了,2
刚刚是不是找错人了。哈哈哈哈,2
露脸即偷心,2
偷心盗贼文俊喵[爱心][爱心][爱心],1
他真的好厉害 看他跳舞感觉好轻松 一点也不累 完全就是在享受表演 看的人也很享受,2
某宝上有得卖，买完后铺平，两边折起，有红点的那一面朝上，必须是有红点的那一面哦!然后放入微波炉用中档加热大概五六分钟，就可以吃喽。小心烫嘴哦。。(⌒▽⌒),5
哈哈哈,2
离谱[妙啊],1
坏起来了，我只有输出属性，经文拉垮的一批，根本上不去那个台阶，硬碰硬肯定碰不过，这可咋办,2
等等，有通天是不是可以。。。[奸笑],1
兄弟们我去肝化雪令了等我好消息[doge],4
这坐骑回复就离谱[热词系列_知识增加],1
可怕[无语],4
"废话不多说,神龙yyds",1
老男同了[热词系列_害怕],5
快跑快跑快跑[小电视_吃惊],3
可恶啊可恶,1
啊 我空降到那个宿舍电梯 想念了,4
双厨狂喜[OK],2
哈哈哈哈哈哈哈哈哈哈,2
邪恶胖球,1
哈哈哈哈哈，哈，哈，哈,2
中草药？这么敷衍？,1
没评论就奇怪,3
发答案的烦不烦人啊，有时候都没来得及关弹幕就蹦出来个c，你哪怕发一下你对这题的看法和解析呢！！！[正经人_火],2
声音太好听了 太舒服了。[喜欢],2
跟生化危机有什么关系,1
我摊牌了，我就是好色,1
哈哈哈哈哈哈哈,2
这不是可乐吗,1
？？？黄色托马斯名不虚传啊,1
每次玩combo为重点的桌游，乐趣就是在攒combo的时候，打的时候反而有一种不好意思的感觉（你再等等，我马上就完了）[喜极而泣][喜极而泣]不过进来玩一些combo多的游戏，真的会出现一个人动的时候，其他人不关心他干了什么，怎么连起来的，因为太冗长了只想知道你最后拿了多少钱和多少分,2
这个话题想到了有些恶心的游戏王卡组，有些游戏确实很难做好平衡性，以至于面对一些操作你无力反制，就变成谁先说书谁赢的怪圈，当然有王样的口胡另说。,2
combo出现的问题主要还是设计的时候不严谨，老是喜欢设计消耗-1或者额外执行某个动作导致形成闭环。,4
复杂哥的游戏，很多都是别人做了，我去蹭的反向combo游戏，如果配合引擎构筑，比如om，就会互动性也很高的，唯一就是细节太多了,2
几个游戏听着都很有意思，哈哈哈,2
该来毛线top5了[害羞],5
Combo是个爽点，但是不要连太多，3下左右的连击，造成的效果从终局来看是影响了比赛，但在那个当下不至于说把对手打死或打残毫无还手之力，双方都时不时的combo一下，输赢也时常在反转，这就很舒服了，你好我也好，大家好才是真的好[歪嘴],2
Combo是个爽点，但是不要连太多，3下左右的连击，造成的效果从终局来看是影响了比赛，但在那个当下不至于说把对手打死或打残毫无还手之力，双方都时不时的combo一下，输赢也时常在反转，这就很舒服了，你好我也好，大家好才是真的好[歪嘴],2
为什么里面有俩尤里船[疑惑],1
孙尚香吃诸葛线打不出伤害？,4
up主友情提示 大招在2.11 想看大招的可以直接过去 麻烦点个赞呗,1
你不对劲,1
你不对劲。,1
你不对劲,1
阿姨呀，为什么要听他的话呀，直接无视他就行啦。,1
新版拒绝一切花里胡哨,1
第八十七集：离谱的原因,1
前面白字别乱说话啊，不会说别说,1
哈哈哈哈哈哈哈哈哈哈,2
不对劲,1
up主友情提示 大招在2.15 想看大招的可以直接过去 麻烦点个赞呗,1
不得了的事是什么[滑稽],3
麻烦您老放个侦测器[呲牙],1
总之呢，其实就是胡说。,1
新版已经改掉这个bug了啊[tv_笑哭]刷不了铁轨啦～,1
[害羞][害羞],5
本来是来练太刀的，这 这不坏事儿了吗,1
我不换个颜色我都不好意思发弹幕,1
你真虚伪,1
太凶恶了,1
好青涩啊哈哈哈哈哈哈可爱,2
不需要这样的谎话,1
绝对不可以幸福那都是谎话,2
不可以幸福,2
绝对不可以幸福,2
不可以幸福,2
不需要这样的谎话,1
绝对不可以幸福那都是谎话,2
绝对不可以幸福,2
不可以幸福,2
绝对不可以幸福,2
不可以幸福,2
有什么可怕的,5
那都是谎话不需要这样的谎话,1
绝对不可以幸福,2
不可以幸福,2
绝对不可以幸福,2
不可以幸福,2
后悔的心,4
让我疯狂,1
如今在别的女子的怀抱,4
如此空洞的我,1
啊啊啊第一，之前有个合集不知道是被吞了还是删了？现在又有新合集了开心,1
之前收藏的合集失效了，我难过了一整晚，终于在一周后找到了这个合集，太开心了,4
可以麻烦up添加一下那个收录在reality un black的hello mama吗？[害羞]谢谢你,1
可以麻烦一下up将AYA加进去吗[捂眼]辛苦up啦！,1
在这里偷偷说一句我是猪应该没人发现吧,1
哇哈哈,2
这个安妮好记仇,1
哈哈哈,2
哈哈哈,2
恐怖如斯,5
帮打晋级赛吗？,2
犹豫就会败北 下次直接不管,1
好狠的吸血鬼,1
哈哈,2
小兵伤害吃满,4
恐怖游戏,2
s11推推棒伤害贼低宝珠没了不知怎么出装,4
哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈,2
下路帮起来的一点点优势又送回去了,2
痛苦面具狼行？,4
这个人好离谱,1
想看情人节惹,2
公主和阿木木的是情侣皮肤,2
想看情人节,2
安妮不是吊打劫？,1
遇到了你，这个分段啥打野都不好使,1
可把人欺负惨了,1
遇到会玩的 不好打啊,1
拆散了一对,1
恭喜恭喜,2
恭喜你拆散了一对情侣,2
这伤害，对面已经看不懂了,4
欢声笑语中打出GG,2
哈哈哈,2
坏起来咯,2
哈哈,2
是不是刚刚卡了,1
一级就死了，离谱,1
说话好像有些紧张,5
原神都没怎么跳票，看出来原神厉害！,5
讲个笑话，育碧史观,1
对不起蠢驴了，我选择和巫师3一样玩盗版,4
先出pc不行么 让全平台一起等,4
主要他最后品质问题大不就行，要是连续跳品质还有问题那才是真爆炸,1
当初我买了本体然后发现了信徒增强版,2
定久一些还好 这一而再再而三跳票 是给了希望又泼冷水 反复进行 实属恶心,1
乔尔快乐杆,2
好家伙，然后就半夜买游戏？,2
呵呵（）,2
其实是害怕跟美末2和元神撞车吧,5
刺客信条在元朝就被蒙古人全部杀光了，拍电影能忽悠谁？,1
最畅销？俄罗斯方块和马里奥也给爷整一个,2
你不是深夜偷偷买游戏上交工资的奶茶吗,1
深夜流泪然后就买游戏？,2
这标题就过分了,1
为了确保游戏的真实性我们觉得2077年发售,2
茶式说教,1
幽灵行者玩的真的停不下来,5
周边都出来了你游戏呢？,2
畅销nm,2
幽灵行者挺好玩的,2
玩过星际公民吗？那还有啥等不了的？,1
epic不了解下？,1
烂在我游戏库2年多了！,2
屁，老子没觉得伤害，看成品说话,4
但是cdpr做平台不加密。做游戏dlc内容多。我们喜欢他耿直。却不接受不够圆滑？,1
太好孝了吧？这也不让骂，精神股东一大堆？,2
你可拉倒吧刺客信条游戏剧情都shi,2
想多了看看人家r星，在乎这点抱怨么,1
只能007，996时间不够,1
消光2收藏一年都没着落了,2
原神撞车的我笑了,5
老策划了啊,1
快进到2077年买游戏,2
消失的光芒，消失了的消息,4
恶心人,1
害怕美末2和原神可还行哦,5
呵呵,2
幽灵行者真的好玩,2
如果给个启示录就好了,2
有求生之路2的玩家建议买消逝的光芒那个捆绑包，捆绑包就是消逝的光芒信徒加强办，减去已经有点求生之路2，合计价格48,5
幽灵行者这游戏真的不太行,2
哈哈哈哈哈哈哈,2
不务正业,1
失去同步？,4
非法集资,1
应该是怕 奇妙高尔夫和魔幻原神,3
epic有券40多可以买幽灵行者,5
这游戏我都忘了,2
幽灵行者真的是玩不到一小时死四五十次,5
cdpr是业界毒瘤,4
有句话不知当讲不当讲，预购这种模式我就一直觉得不合理,1
咋地，干过的事不让说？孝子都知道这事不好看，育碧却不知道,1
确实，直接说个晚点的时间就行了，这有点恶心人了,1
哈哈光之孙,2
现在是赶潮流还是玩游戏？,2
光之子（不是,1
只能批评，别能说脏话啊,1
约等于求生之路3,5
说怕和美末2跟原神撞车的那个脑子还好吗,5
哈哈，众筹,2
我怀疑没做,1
这不是耍流氓吗,1
求生之路我就没用过原皮hh,5
说得对啊，我也是这么想的。缺时间就晚点发售，为什么要定在自己力所不能及的时间然后不断跳票呢，这样很败坏口碑的。,1
哈哈哈哈,2
呵呵,2
可能就是资金不够，先做小视频,1
我觉得来不及，各平台都不同21天不知道工作量怎么样,1
解释，蠢驴野心极大，不能一家家来，全都要,1
没事，还有游戏玩,2
哈哈哈哈哈和,2
你们说的不对！应该是看门狗军团，然后转光之子,1
单机游戏都是这样的啊，是不是有毛病,1
可以理解，不能原谅,2
失去同步,4
这游戏手感很奇怪的,2
也好，这个月游戏够多了,2
嫌恶心退款不就行了？,1
这就是奶茶深夜买幽灵行者的原因,5
2077年应该能玩到同时代游戏了,2
呵呵,2
幽灵行者可以等等,5
21天，呵呵,2
好！很有精神！,2
那完了。高尔夫2要年度游戏了,2
懂了 这波啊 这波是为了督促员工跳票 万恶的资本家,1
彩虹六号,2
听到白给我就精神了,2
幽灵行者，我这个源氏一直玩不好的人已经在steam申请退款了。。。手残玩家的悲哀,4
波兰国家都给钱cdpr做游戏，能有什么难处，就是把预购的人当猴耍,2
是啊，饥饿营销，他们是不是跟小米学过？,1
道理我都懂，电影有问号吗？,1
21天能保证出品吗？很蓝的辣[滑稽],1
然后深夜买游戏？,2
你不是深夜在买游戏？,2
刚才有个朋友问我，马老师发生甚么事了，我说怎么回事，给我发了几张截图，我一看，嗷，原来是昨天，CDPR发新公告了，我一刷新我啪就站起来了，很快啊，然后上来就是一个点赞，一个保存，再点开看，他全部交待了啊，看来是有备而来。按照传统游戏跳票来说，点到为止，我已经预购了，啊，但是这时候我大意了啊，我没有闪，当时就要让我再等多一个月，我说，停！停！CDPR你不讲武德，你骗我一个两百斤的学生这好吗？这不好。 我大意了啊，没有闪，他的跳票给我懵了一下，但是没关系啊，两分多钟以后就好了，我说CDPR你不讲武德，你不懂，他说马老师对不起，我不懂，我是乱跳的，他可不是乱跳的啊，夜之城，联名，试玩，训练有素，后来说以前就在巫师3跳过几次票，看来是有备而来。这个公司不讲武德，来骗，来偷袭，我二十岁的老同志，这好吗？这不好，我劝，这家公司耗子尾汁，好好反思，以后不要再犯这样的错误，小聪明啊，玩游戏要以和为贵，要讲武德，不要搞跳票，谢谢朋友们。,1
一年半，一年半！你知道我这一年半怎么过来的吗！！我每天都在玩彩虹六号，你知道有多好玩吗！！,2
要不是巫师3打下的口碑，放其他公司早就骂死了[翻白眼],1
Rnm退钱，太失望了我敲,4
#xz偷取游戏光盘导致赛博朋克跳票#,2
"CDPR，你说一次一次一次的跳票，改过不啦？换汤不换药啊！人家玩家也是有理由的说的，人家当初等的的是什么啊？等的是GTA6啊！你这是什么游戏啊？你叫我等？2020年游戏什么水平，就那么几款游戏，你O神都能当殿堂，他能当吗！当不了，没这个水准知道吗？再下去没日子拖了，拖过11月么拖2021，2021拖完到2077，接下去没得拖了。

【另一方面说，赛博朋克是最早备战2021年TGA的游戏】

哎呦！谢天谢地！我已经说了，你像这样的游戏本身承诺没有做好，你能跟我保证在2021年这样关键的年份他能赢啊，务实一点，我劝你们，把自己的游戏制作，宣发的周期先搞懂，11月盘压得蛮好的。你把他去跳了干什么你告诉我？多拖一个月得不了奖，你倒告诉我怎么解释？CDPR脸都不要了！",2
别尬黑，原神11月大更新CDPR怕了[滑稽][滑稽],1
我是真的喜欢消光，但是我这个从来不晕3d的人连玩了消光四个小时以后站起来吐的跟死狗一样……走路都走不稳……头痛欲裂……差点以为光敏性癫痫了……别的彩六刺客信条gta都从来就没事……,2
"一款未发售游戏
它的制作公司在波兰
这个公司曾在2015年发售过一款游戏获得无数好评
它备受粉丝期待
它是第一人称
它的玩法众多
它经历了跳票
请问这是什么游戏",2
